date,price
03/01/22,48.8
05/01/22,47.5
06/01/22,46.7
09/01/22,48.0
10/01/22,47.9
11/01/22,48.2
12/01/22,47.5
13/01/22,49.7
16/01/22,49.7
17/01/22,48.9
18/01/22,48.2
19/01/22,48.4
20/01/22,47.3
23/01/22,47.8
24/01/22,47.0
25/01/22,45.6
26/01/22,47.7
27/01/22,46.6
30/01/22,47.0
31/01/22,46.6
01/02/22,45.8
02/02/22,46.4
03/02/22,46.5
06/02/22,45.9
07/02/22,45.9
08/02/22,46.0
09/02/22,47.0
13/02/22,45.5
14/02/22,45.0
15/02/22,45.4
16/02/22,45.8
17/02/22,45.1
20/02/22,44.5
21/02/22,44.6
22/02/22,45.0
23/02/22,45.4
24/02/22,42.0
02/03/22,43.8
03/03/22,43.9
06/03/22,43.7
07/03/22,43.0
08/03/22,43.1
09/03/22,42.6
10/03/22,43.0
10/03/22,43.0
13/03/22,44.4
14/03/22,44.5
15/03/22,44.7
16/03/22,44.3
17/03/22,44.4
20/03/22,45.0
21/03/22,44.8
22/03/22,45.0
23/03/22,46.4
24/03/22,44.5
27/03/22,45.7
28/03/22,45.7
29/03/22,42.9
30/03/22,42.0
31/03/22,42.0
03/04/22,42.4
05/04/22,41.1
06/04/22,39.4
07/04/22,41.0
10/04/22,41.6
11/04/22,41.5
12/04/22,41.5
13/04/22,38.0
14/04/22,38.7