Date heure,Chambre d'amis,salon,Salle de Bain,Chambre,Dehors
07/10/15 151006,24,23.299999237061,22.799999237061,22.39999961853,28.89999961853
07/10/15 151506,24,23.299999237061,22.89999961853,22.5,28.89999961853
07/10/15 152006,24,23.299999237061,22.89999961853,22.5,28.89999961853
07/10/15 152506,24,23.299999237061,22.89999961853,22.5,28.89999961853
07/10/15 153006,24,23.299999237061,22.89999961853,22.60000038147,29.5
07/10/15 153506,24.10000038147,23.39999961853,22.89999961853,22.60000038147,29.60000038147
07/10/15 154006,24.10000038147,23.39999961853,22.89999961853,22.60000038147,29.700000762939
07/10/15 154506,24.10000038147,23.39999961853,22.89999961853,22.60000038147,29.89999961853
07/10/15 155006,24.10000038147,23.39999961853,23,22.700000762939,29.799999237061
07/10/15 155506,24.10000038147,23.5,23,22.700000762939,30.10000038147
07/10/15 160010,24.10000038147,23.5,23,22.700000762939,30.299999237061
07/10/15 160506,24.10000038147,23.5,23,22.799999237061,30.39999961853